Country,Year,Week,Start,End
Netherlands,2020,14,2020-04-06,2020-04-12
Netherlands,2020,15,2020-04-13,2020-04-19
Netherlands,2020,16,2020-04-20,2020-04-26
Netherlands,2020,17,2020-04-27,2020-05-03
Netherlands,2020,18,2020-05-04,2020-05-10
Netherlands,2020,19,2020-05-11,2020-05-17
Netherlands,2020,20,2020-05-18,2020-05-24
Netherlands,2020,21,2020-05-25,2020-05-31
Netherlands,2020,22,2020-06-01,2020-06-07
Netherlands,2020,23,2020-06-08,2020-06-14
Netherlands,2020,24,2020-06-15,2020-06-21
Netherlands,2020,25,2020-06-22,2020-06-28
Netherlands,2020,26,2020-06-29,2020-07-05
Netherlands,2020,27,2020-07-06,2020-07-12
Netherlands,2020,28,2020-07-13,2020-07-19
Netherlands,2020,29,2020-07-20,2020-07-26
Netherlands,2020,30,2020-07-27,2020-08-02
Netherlands,2020,31,2020-08-03,2020-08-09
Netherlands,2020,32,2020-08-10,2020-08-16
Netherlands,2020,33,2020-08-17,2020-08-23
Netherlands,2020,34,2020-08-24,2020-08-30
Netherlands,2020,35,2020-08-31,2020-09-06
Netherlands,2020,36,2020-09-07,2020-09-13
Netherlands,2020,37,2020-09-14,2020-09-20
Netherlands,2020,38,2020-09-21,2020-09-27
Netherlands,2020,39,2020-09-28,2020-10-04
Netherlands,2020,40,2020-10-05,2020-10-11
Netherlands,2020,41,2020-10-12,2020-10-18
Netherlands,2020,42,2020-10-19,2020-10-25
Netherlands,2020,43,2020-10-26,2020-11-01
Netherlands,2020,44,2020-11-02,2020-11-08
Netherlands,2020,45,2020-11-09,2020-11-15
Netherlands,2020,46,2020-11-16,2020-11-22
Netherlands,2020,47,2020-11-23,2020-11-29
Netherlands,2020,48,2020-11-30,2020-12-06
Netherlands,2020,49,2020-12-07,2020-12-13
Netherlands,2020,50,2020-12-14,2020-12-20
Netherlands,2020,51,2020-12-21,2020-12-27
Netherlands,2020,52,2020-12-28,2020-12-31
United Kingdom,2017,0,2016-12-31,2017-01-06
United Kingdom,2017,1,2017-01-07,2017-01-13
United Kingdom,2017,2,2017-01-14,2017-01-20
United Kingdom,2017,3,2017-01-21,2017-01-27
United Kingdom,2017,4,2017-01-28,2017-02-03
United Kingdom,2017,5,2017-02-04,2017-02-10
United Kingdom,2017,6,2017-02-11,2017-02-17
United Kingdom,2017,7,2017-02-18,2017-02-24
United Kingdom,2017,8,2017-02-25,2017-03-03
United Kingdom,2017,9,2017-03-04,2017-03-10
United Kingdom,2017,10,2017-03-11,2017-03-17
United Kingdom,2017,11,2017-03-18,2017-03-24
United Kingdom,2017,12,2017-03-25,2017-03-31
United Kingdom,2017,13,2017-04-01,2017-04-07
United Kingdom,2017,14,2017-04-08,2017-04-14
United Kingdom,2017,15,2017-04-15,2017-04-21
United Kingdom,2017,16,2017-04-22,2017-04-28
United Kingdom,2017,17,2017-04-29,2017-05-05
United Kingdom,2017,18,2017-05-06,2017-05-12
United Kingdom,2017,19,2017-05-13,2017-05-19
United Kingdom,2017,20,2017-05-20,2017-05-26
United Kingdom,2017,21,2017-05-27,2017-06-02
United Kingdom,2017,22,2017-06-03,2017-06-09
United Kingdom,2017,23,2017-06-10,2017-06-16
United Kingdom,2017,24,2017-06-17,2017-06-23
United Kingdom,2017,25,2017-06-24,2017-06-30
United Kingdom,2017,26,2017-07-01,2017-07-07
United Kingdom,2017,27,2017-07-08,2017-07-14
United Kingdom,2017,28,2017-07-15,2017-07-21
United Kingdom,2017,29,2017-07-22,2017-07-28
United Kingdom,2017,30,2017-07-29,2017-08-04
United Kingdom,2017,31,2017-08-05,2017-08-11
United Kingdom,2017,32,2017-08-12,2017-08-18
United Kingdom,2017,33,2017-08-19,2017-08-25
United Kingdom,2017,34,2017-08-26,2017-09-01
United Kingdom,2017,35,2017-09-02,2017-09-08
United Kingdom,2017,36,2017-09-09,2017-09-15
United Kingdom,2017,37,2017-09-16,2017-09-22
United Kingdom,2017,38,2017-09-23,2017-09-29
United Kingdom,2017,39,2017-09-30,2017-10-06
United Kingdom,2017,40,2017-10-07,2017-10-13
United Kingdom,2017,41,2017-10-14,2017-10-20
United Kingdom,2017,42,2017-10-21,2017-10-27
United Kingdom,2017,43,2017-10-28,2017-11-03
United Kingdom,2017,44,2017-11-04,2017-11-10
United Kingdom,2017,45,2017-11-11,2017-11-17
United Kingdom,2017,46,2017-11-18,2017-11-24
United Kingdom,2017,47,2017-11-25,2017-12-01
United Kingdom,2017,48,2017-12-02,2017-12-08
United Kingdom,2017,49,2017-12-09,2017-12-15
United Kingdom,2017,50,2017-12-16,2017-12-22
United Kingdom,2017,51,2017-12-23,2017-12-29
United Kingdom,2017,52,2017-12-30,2017-12-31
United Kingdom,2018,0,2017-12-30,2018-01-05
United Kingdom,2018,1,2018-01-06,2018-01-12
United Kingdom,2018,2,2018-01-13,2018-01-19
United Kingdom,2018,3,2018-01-20,2018-01-26
United Kingdom,2018,4,2018-01-27,2018-02-02
United Kingdom,2018,5,2018-02-03,2018-02-09
United Kingdom,2018,6,2018-02-10,2018-02-16
United Kingdom,2018,7,2018-02-17,2018-02-23
United Kingdom,2018,8,2018-02-24,2018-03-02
United Kingdom,2018,9,2018-03-03,2018-03-09
United Kingdom,2018,10,2018-03-10,2018-03-16
United Kingdom,2018,11,2018-03-17,2018-03-23
United Kingdom,2018,12,2018-03-24,2018-03-30
United Kingdom,2018,13,2018-03-31,2018-04-06
United Kingdom,2018,14,2018-04-07,2018-04-13
United Kingdom,2018,15,2018-04-14,2018-04-20
United Kingdom,2018,16,2018-04-21,2018-04-27
United Kingdom,2018,17,2018-04-28,2018-05-04
United Kingdom,2018,18,2018-05-05,2018-05-11
United Kingdom,2018,19,2018-05-12,2018-05-18
United Kingdom,2018,20,2018-05-19,2018-05-25
United Kingdom,2018,21,2018-05-26,2018-06-01
United Kingdom,2018,22,2018-06-02,2018-06-08
United Kingdom,2018,23,2018-06-09,2018-06-15
United Kingdom,2018,24,2018-06-16,2018-06-22
United Kingdom,2018,25,2018-06-23,2018-06-29
United Kingdom,2018,26,2018-06-30,2018-07-06
United Kingdom,2018,27,2018-07-07,2018-07-13
United Kingdom,2018,28,2018-07-14,2018-07-20
United Kingdom,2018,29,2018-07-21,2018-07-27
United Kingdom,2018,30,2018-07-28,2018-08-03
United Kingdom,2018,31,2018-08-04,2018-08-10
United Kingdom,2018,32,2018-08-11,2018-08-17
United Kingdom,2018,33,2018-08-18,2018-08-24
United Kingdom,2018,34,2018-08-25,2018-08-31
United Kingdom,2018,35,2018-09-01,2018-09-07
United Kingdom,2018,36,2018-09-08,2018-09-14
United Kingdom,2018,37,2018-09-15,2018-09-21
United Kingdom,2018,38,2018-09-22,2018-09-28
United Kingdom,2018,39,2018-09-29,2018-10-05
United Kingdom,2018,40,2018-10-06,2018-10-12
United Kingdom,2018,41,2018-10-13,2018-10-19
United Kingdom,2018,42,2018-10-20,2018-10-26
United Kingdom,2018,43,2018-10-27,2018-11-02
United Kingdom,2018,44,2018-11-03,2018-11-09
United Kingdom,2018,45,2018-11-10,2018-11-16
United Kingdom,2018,46,2018-11-17,2018-11-23
United Kingdom,2018,47,2018-11-24,2018-11-30
United Kingdom,2018,48,2018-12-01,2018-12-07
United Kingdom,2018,49,2018-12-08,2018-12-14
United Kingdom,2018,50,2018-12-15,2018-12-21
United Kingdom,2018,51,2018-12-22,2018-12-28
United Kingdom,2018,52,2018-12-29,2018-12-31
United Kingdom,2019,0,2018-12-29,2019-01-04
United Kingdom,2019,1,2019-01-05,2019-01-11
United Kingdom,2019,2,2019-01-12,2019-01-18
United Kingdom,2019,3,2019-01-19,2019-01-25
United Kingdom,2019,4,2019-01-26,2019-02-01
United Kingdom,2019,5,2019-02-02,2019-02-08
United Kingdom,2019,6,2019-02-09,2019-02-15
United Kingdom,2019,7,2019-02-16,2019-02-22
United Kingdom,2019,8,2019-02-23,2019-03-01
United Kingdom,2019,9,2019-03-02,2019-03-08
United Kingdom,2019,10,2019-03-09,2019-03-15
United Kingdom,2019,11,2019-03-16,2019-03-22
United Kingdom,2019,12,2019-03-23,2019-03-29
United Kingdom,2019,13,2019-03-30,2019-04-05
United Kingdom,2019,14,2019-04-06,2019-04-12
United Kingdom,2019,15,2019-04-13,2019-04-19
United Kingdom,2019,16,2019-04-20,2019-04-26
United Kingdom,2019,17,2019-04-27,2019-05-03
United Kingdom,2019,18,2019-05-04,2019-05-10
United Kingdom,2019,19,2019-05-11,2019-05-17
United Kingdom,2019,20,2019-05-18,2019-05-24
United Kingdom,2019,21,2019-05-25,2019-05-31
United Kingdom,2019,22,2019-06-01,2019-06-07
United Kingdom,2019,23,2019-06-08,2019-06-14
United Kingdom,2019,24,2019-06-15,2019-06-21
United Kingdom,2019,25,2019-06-22,2019-06-28
