Year,Week,Start,End
2020,22,2020-06-01,2020-06-07
2020,23,2020-06-08,2020-06-14
2020,24,2020-06-15,2020-06-21
2020,25,2020-06-22,2020-06-28
2020,26,2020-06-29,2020-07-05
2020,27,2020-07-06,2020-07-12
2020,28,2020-07-13,2020-07-19
2020,29,2020-07-20,2020-07-26
2020,30,2020-07-27,2020-08-02
2020,31,2020-08-03,2020-08-09
2020,32,2020-08-10,2020-08-16
2020,33,2020-08-17,2020-08-23
2020,34,2020-08-24,2020-08-30
2020,35,2020-08-31,2020-09-06
2020,36,2020-09-07,2020-09-13
2020,37,2020-09-14,2020-09-20
2020,38,2020-09-21,2020-09-27
2020,39,2020-09-28,2020-10-04
2020,40,2020-10-05,2020-10-11
2020,41,2020-10-12,2020-10-18
2020,42,2020-10-19,2020-10-25
2020,43,2020-10-26,2020-11-01
2020,44,2020-11-02,2020-11-08
2020,45,2020-11-09,2020-11-15
2020,46,2020-11-16,2020-11-22
2020,47,2020-11-23,2020-11-29
2020,48,2020-11-30,2020-12-06
2020,49,2020-12-07,2020-12-13
2020,50,2020-12-14,2020-12-20
2020,51,2020-12-21,2020-12-27
2020,52,2020-12-28,2020-12-31
